times ;values
1949;112
1950;118
1951;132
1952;129
1953;121
1954;135
1955;148
1956;148
1957;136
1958;119
1959;104
1960;118
1961;115
1962;126
1963;141
1964;135
1965;125
1966;149
1967;170
1968;170
1969;158
1970;133
1971;114
1972;140
1973;145
1974;150
1975;178
1976;163
1977;172
1978;178
1979;199
1980;199
1981;184
1982;162
1983;146
1984;166
1985;171
1986;180
1987;193
1988;181
1989;183
1990;218
1991;230
1992;242
1993;209
1994;191
1995;172
1996;194
1997;196
1998;196
1999;236
2000;235
2001;229
2002;243
2003;264
2004;272
2005;237
2006;211
2007;180
2008;201
2009;204
2010;188
2011;235
2012;227
2013;234
2014;264
2015;302
2016;293
2017;259
2018;229
2019;203
2020;229
2021;242
2022;233
2023;267
2024;269
2025;270
2026;315
2027;364
2028;347
2029;312
2030;274
2031;237
2032;278
2033;284
2034;277
2035;317
2036;313
2037;318
2038;374
2039;413
2040;405
2041;355
2042;306
2043;271
2044;306
2045;315
2046;301
2047;356
2048;348
2049;355
2050;422
2051;465
2052;467
2053;404
2054;347
2055;305
2056;336
2057;340
2058;318
2059;362
2060;348
2061;363
2062;435
2063;491
2064;505
2065;404
2066;359
2067;310
2068;337
2069;360
2070;342
2071;406
2072;396
2073;420
2074;472
2075;548
2076;559
2077;463
2078;407
2079;362
2080;405
2081;417
2082;391
2083;419
2084;461
2085;472
2086;535
2087;622
2088;606
2089;508
2090;461
2091;390
2092;432
