times;values
1362145241;0.000000
1362145242;0.099833
1362145243;0.198669
1362145244;0.295520
1362145245;0.389418
1362145246;0.479426
1362145247;0.564642
1362145248;0.644218
1362145249;0.717356
1362145250;0.783327
1362145251;0.841471
1362145252;0.891207
1362145253;0.932039
1362145254;0.963558
1362145255;0.985450
1362145256;0.997495
1362145257;0.999574
1362145258;0.991665
1362145259;0.973848
1362145260;0.946300
1362145261;0.909297
1362145262;0.000000
1362145263;0.099833
1362145264;0.198669
1362145265;0.295520
1362145266;0.389418
1362145267;0.479426
1362145268;0.564642
1362145269;0.644218
1362145270;0.717356
1362145271;0.783327
1362145272;0.841471
1362145273;0.891207
1362145274;0.932039
1362145275;0.963558
1362145276;0.985450
1362145277;0.997495
1362145278;0.999574
1362145279;0.991665
1362145280;0.973848
1362145281;0.946300
1362145282;0.909297
1362145283;0.863209
1362145284;0.808496
1362145285;0.745705
1362145286;0.675463
1362145287;0.598472
1362145288;0.515501
1362145289;0.427380
1362145290;0.334988
1362145291;0.239249
1362145292;0.141120
1362145293;0.041581
1362145294;-0.058374
1362145295;-0.157746
1362145296;-0.255541
1362145297;-0.350783
1362145298;-0.442520
1362145299;-0.529836
1362145300;-0.611858
1362145301;-0.687766
1362145302;-0.756802
1362145303;-0.818277
1362145304;-0.871576
1362145305;-0.916166
1362145306;-0.951602
1362145307;-0.977530
1362145308;-0.993691
1362145309;-0.999923
1362145310;-0.996165
1362145311;-0.982453
1362145312;-0.958924
1362145313;-0.925815
1362145314;-0.883455
1362145315;0.000000
1362145316;0.099833
1362145317;0.198669
1362145318;0.295520
1362145319;0.389418
1362145320;0.479426
1362145321;0.564642
1362145322;0.644218
1362145323;0.717356
1362145324;0.783327
1362145325;0.841471
1362145326;0.891207
1362145327;0.932039
1362145328;0.963558
1362145329;0.985450
1362145330;0.997495
1362145331;0.999574
1362145332;0.991665
1362145333;0.973848
1362145334;0.946300
1362145335;0.909297
1362145336;0.863209
1362145337;0.808496
1362145338;0.745705
1362145339;0.675463
1362145340;0.598472
